ID,NU_NOTA_LC
0,499.4155848835521
1,583.4180166079658
2,518.7336623339457
3,464.8141698531643
4,529.3325025548811
5,570.4972666753725
6,497.04326870424626
7,477.74911960314904
8,490.50161409893997
9,619.6115362128029
10,605.4049698297613
11,579.7635363561052
12,464.40825511133386
13,602.5366726387588
14,446.6666091521155
15,470.0409412820198
16,622.6233439785603
17,603.6924676646333
18,538.6380255379609
19,521.6430730231637
20,501.42767948155927
21,595.055585223449
22,569.359194257071
23,479.95501227527404
24,472.28797930891903
25,560.4698030554214
26,432.6569182087418
27,534.2460039714982
28,446.50050463521205
29,466.70624068029247
30,520.7163852143688
31,617.5561157049627
32,582.4549423429083
33,553.163914334874
34,550.5560112026163
35,466.9750280581036
36,488.7212058235886
37,519.315582648486
38,520.5132455175627
39,502.4796670842147
40,483.3998724084773
41,537.5668098446943
42,534.7720260974586
43,450.740768986962
44,652.9152872513719
45,442.6918497809291
46,484.5852282019016
47,472.36435538775464
48,451.81153701312735
49,539.7239841447229
50,465.455993786138
51,468.4772632584539
52,509.48630768817975
53,537.6860577717501
54,559.2311069989703
55,565.1333373866247
56,481.97910612739497
57,522.0161074150569
58,537.3971110598825
59,607.1837856382222
60,509.7988450391019
61,464.16260909722496
62,455.42737841764813
63,529.8785259023531
64,536.6021801864136
65,441.8556294509818
66,525.6133781446608
67,462.0361771826659
68,455.65620644161373
69,529.1823288747562
70,549.1708449686944
71,595.9532599931479
72,509.05140466129285
73,511.6374770338629
74,584.4618186968148
75,492.92291466070714
76,509.13796673030373
77,475.88143265517874
78,569.8557124510539
79,585.143185117382
80,505.2080750093131
81,568.2430222701129
82,483.00240970942514
83,474.5445516492798
84,483.90809692671263
85,537.5810228958671
86,492.5796654589375
87,524.8441077104516
88,462.30093204610876
89,486.0853336877114
90,494.1069791538299
91,501.2828139861733
92,563.2946025821252
93,474.10443817164054
94,585.8948023922609
95,611.8433660346025
96,517.8119785075615
97,471.64456122469375
98,502.5646708602316
99,536.917998156184
100,606.439000648574
101,514.4340121216405
102,548.6296703329684
103,605.4032992327634
104,530.3157283922986
105,637.4987995160418
106,626.8779253868729
107,589.3278898496184
108,470.76243735390085
109,636.1065714165632
110,550.3881847295079
111,481.538156803073
112,514.1522900252502
113,619.2266068721161
114,484.10258942862754
115,490.9425725529382
116,504.6711669125252
117,537.8495610591567
118,602.5346098485303
119,557.8978948286282
120,527.7290123313991
121,496.64213722548016
122,500.3824095629928
123,618.9557478951758
124,505.1090760710698
