NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Faltou_no_dia_1,Faltou_no_dia_2,log_NU_NOTA_CN,log_NU_NOTA_CH,log_NU_NOTA_LC,log_NU_NOTA_MT,log_NU_NOTA_REDACAO,log_Faltou_no_dia_1,log_Faltou_no_dia_2
468.6,579.2,550.0,605.0,540.0,0,0,6.151881268513887,6.363372871687304,6.311734809152915,6.406879986069314,6.293419278846481,0.6931471805599453,0.6931471805599453
463.5,442.6,406.3,413.8,440.0,0,0,6.140961558253893,6.094923255476212,6.009550014654367,6.027796476355372,6.089044875446846,0.6931471805599453,0.6931471805599453
593.3,717.3,652.3,693.6,980.0,0,0,6.387384242372615,6.576887309080756,6.482036441846705,6.5433361403099735,6.8885724595653635,0.6931471805599453,0.6931471805599453
426.0,603.6,469.1,455.2,380.0,0,0,6.056784013228625,6.404567082345357,6.152945438030085,6.122931309850288,5.942799375126701,0.6931471805599453,0.6931471805599453
537.8,601.6,580.5,502.0,620.0,0,0,6.289344444536209,6.401253626696201,6.365610971958719,6.220590170099739,6.431331081933479,0.6931471805599453,0.6931471805599453
389.6,435.4,498.1,483.1,400.0,0,0,5.967684018442578,6.0785592539589155,6.2128064764755635,6.182291496945648,5.993961427306569,0.6931471805599453,0.6931471805599453
442.7,494.4,494.5,378.6,360.0,0,0,6.095148658384864,6.2053655170552595,6.205567353770043,5.939118066735773,5.8888779583328805,0.6931471805599453,0.6931471805599453
437.1,523.8,451.2,472.8,460.0,0,0,6.082447194819853,6.263017237629879,6.114124559843869,6.160785291724685,6.133398042996649,0.6931471805599453,0.6931471805599453
567.2,698.0,664.7,693.2,640.0,0,0,6.342473469420088,6.54965074223381,6.500839118606658,6.542760103427686,6.46302945692067,0.6931471805599453,0.6931471805599453
418.7,532.8,470.0,492.9,540.0,0,0,6.039540170339545,6.280021236970423,6.154858094016418,6.202333067546579,6.293419278846481,0.6931471805599453,0.6931471805599453
653.1,696.2,672.8,714.5,760.0,0,0,6.483260244967167,6.547072313645866,6.512933330972452,6.572981598996505,6.634633357861686,0.6931471805599453,0.6931471805599453
440.2,471.8,536.2,431.5,420.0,0,0,6.089498287379348,6.158672466091889,6.286370464649083,6.069582326371934,6.042632833682381,0.6931471805599453,0.6931471805599453
396.8,447.8,506.9,406.9,340.0,0,0,5.985949366419872,6.106577354208486,6.2302845778072,6.011022046323513,5.831882477283517,0.6931471805599453,0.6931471805599453
596.1,678.5,622.6,686.8,880.0,0,0,6.392084603552947,6.521357233591198,6.4355091371836215,6.533498097998166,6.78105762593618,0.6931471805599453,0.6931471805599453
456.9,610.7,560.9,515.0,520.0,0,0,6.12665081966305,6.416241966248519,6.3313238981181525,6.246106765481563,6.255750041753367,0.6931471805599453,0.6931471805599453
412.6,631.0,422.1,413.6,340.0,0,0,6.024899323194219,6.448889394146858,6.047608557726022,6.027314200001679,5.831882477283517,0.6931471805599453,0.6931471805599453
499.7,499.2,520.1,536.7,600.0,0,0,6.216007119335899,6.215008018443519,6.255941961915169,6.287300783815632,6.398594934535208,0.6931471805599453,0.6931471805599453
398.3,404.4,496.4,501.7,320.0,0,0,5.989713014069176,6.004874234017899,6.209394531369305,6.21999357069853,5.771441123130016,0.6931471805599453,0.6931471805599453
409.8,498.8,522.6,404.5,360.0,0,0,6.018106478054404,6.214208018400852,6.260728034035745,6.005120873555468,5.8888779583328805,0.6931471805599453,0.6931471805599453
612.4,595.0,582.3,538.8,680.0,0,0,6.419017251680151,6.39024066706535,6.368701633759592,6.291198700583904,6.523562306149512,0.6931471805599453,0.6931471805599453
449.0,399.2,499.9,498.3,520.0,0,0,6.1092475827643655,5.991964422149633,6.216406480363571,6.213207117506563,6.255750041753367,0.6931471805599453,0.6931471805599453
593.5,669.5,605.7,719.6,680.0,0,0,6.387720716130836,6.508023702721733,6.408034434948252,6.580084198313993,6.523562306149512,0.6931471805599453,0.6931471805599453
460.8,591.3,489.8,576.1,820.0,0,0,6.135131896920395,6.384013263282919,6.196036712836756,6.358015561716921,6.710523109452428,0.6931471805599453,0.6931471805599453
381.5,538.0,435.8,379.9,340.0,0,0,5.94672865326659,6.289715570908998,6.079475424430695,5.942536873484558,5.831882477283517,0.6931471805599453,0.6931471805599453
530.9,466.1,472.1,550.7,580.0,0,0,6.276455501748272,6.1465433675080625,6.159306782637103,6.313004420278385,6.364750756851911,0.6931471805599453,0.6931471805599453
406.8,432.4,457.5,534.9,480.0,0,0,6.010776858140355,6.071661089102259,6.127960291696519,6.283947576500805,6.175867270105761,0.6931471805599453,0.6931471805599453
445.5,477.7,416.8,379.4,460.0,0,0,6.101439400316553,6.171074096398463,6.035002849122465,5.941223330671235,6.133398042996649,0.6931471805599453,0.6931471805599453
531.4,547.2,528.6,569.7,540.0,0,0,6.277395086520957,6.306640183868685,6.272122004622799,6.346863677542663,6.293419278846481,0.6931471805599453,0.6931471805599453
470.8,566.3,517.7,506.1,400.0,0,0,6.1565551669735745,6.340888264332522,6.251325681357355,6.228708222800973,5.993961427306569,0.6931471805599453,0.6931471805599453
504.4,556.7,427.5,441.8,540.0,0,0,6.2253501949540935,6.323821183395508,6.060290738037835,6.093118200834482,6.293419278846481,0.6931471805599453,0.6931471805599453
481.9,629.3,542.7,491.1,940.0,0,0,6.179809592879496,6.446195896519065,6.298397624151875,6.198681947871933,6.846943139585379,0.6931471805599453,0.6931471805599453
533.6,541.3,409.1,384.2,800.0,0,0,6.281518803704818,6.295819353847015,6.016401032398013,5.953762679923971,6.68586094706836,0.6931471805599453,0.6931471805599453
578.2,628.5,578.0,495.8,660.0,0,0,6.361647841071506,6.444925853484402,6.361302477572996,6.208187530619269,6.493753839851686,0.6931471805599453,0.6931471805599453
515.7,513.6,561.5,458.1,560.0,0,0,6.247462435293139,6.243389899847644,6.332391134078575,6.129268051255177,6.329720905522696,0.6931471805599453,0.6931471805599453
429.8,564.4,442.6,416.9,340.0,0,0,6.0656439452822335,6.33753344525949,6.094923255476212,6.03524216945387,5.831882477283517,0.6931471805599453,0.6931471805599453
557.6,624.8,599.1,566.0,740.0,0,0,6.325433653511077,6.439030831234781,6.397096307995467,6.340359303727752,6.608000625296087,0.6931471805599453,0.6931471805599453
448.1,471.0,346.2,537.9,500.0,0,0,6.107245580093692,6.156978985585555,5.849900982786195,6.289530024939451,6.2166061010848646,0.6931471805599453,0.6931471805599453
487.6,411.6,370.1,425.7,520.0,0,0,6.19154415882364,6.022478600637151,5.916471568066552,6.056081190193955,6.255750041753367,0.6931471805599453,0.6931471805599453
602.4,658.1,575.4,724.5,740.0,0,0,6.40258032672496,6.490875268058674,6.356801864125367,6.5868610723242424,6.608000625296087,0.6931471805599453,0.6931471805599453
444.7,619.4,608.7,431.6,600.0,0,0,6.09964607995251,6.430364431302384,6.4129670329137705,6.069813513518959,6.398594934535208,0.6931471805599453,0.6931471805599453
404.9,539.9,462.7,399.7,640.0,0,0,6.006106823844852,6.293234418877382,6.139237791397415,5.993213017642099,6.46302945692067,0.6931471805599453,0.6931471805599453
407.1,520.9,350.3,500.3,260.0,0,0,6.01151224241176,6.257475998649367,5.861640559271781,6.2172047242694575,5.564520407322694,0.6931471805599453,0.6931471805599453
510.5,584.7,544.8,463.9,720.0,0,0,6.2373475853916815,6.372807713095737,6.302252608274238,6.141822328696539,6.580639137284949,0.6931471805599453,0.6931471805599453
568.5,624.8,602.4,467.1,680.0,0,0,6.3447587828872365,6.439030831234781,6.40258032672496,6.148681948306025,6.523562306149512,0.6931471805599453,0.6931471805599453
399.2,589.1,412.0,391.4,340.0,0,0,5.991964422149633,6.380292014063123,6.023447592961033,5.972281727691208,5.831882477283517,0.6931471805599453,0.6931471805599453
408.7,627.7,554.4,450.1,360.0,0,0,6.015425184552825,6.443654195389016,6.319688574872699,6.111689044414351,5.8888779583328805,0.6931471805599453,0.6931471805599453
440.7,467.4,521.8,460.1,520.0,0,0,6.090630918602481,6.149322631723562,6.259198981750067,6.13361493921266,6.255750041753367,0.6931471805599453,0.6931471805599453
431.5,545.3,503.0,479.9,500.0,0,0,6.069582326371934,6.303168275401672,6.222576268071369,6.175659348283617,6.2166061010848646,0.6931471805599453,0.6931471805599453
513.0,608.4,600.9,445.9,620.0,0,0,6.2422232654551655,6.412474866551609,6.400091318553725,6.1023348559394055,6.431331081933479,0.6931471805599453,0.6931471805599453
437.3,606.8,538.1,544.9,520.0,0,0,6.082903607424764,6.409845880482693,6.289901082457623,6.3024358087877115,6.255750041753367,0.6931471805599453,0.6931471805599453
463.3,583.4,499.4,520.3,520.0,0,0,6.140530895025876,6.370585679876545,6.215407778592756,6.25632569177406,6.255750041753367,0.6931471805599453,0.6931471805599453
486.6,588.3,596.7,453.1,340.0,0,0,6.189495397607116,6.378935391843868,6.393088955830208,6.118317438103905,5.831882477283517,0.6931471805599453,0.6931471805599453
479.7,628.0,579.7,457.6,420.0,0,0,6.175243374899915,6.444131256700441,6.364234272378004,6.128178370423804,6.042632833682381,0.6931471805599453,0.6931471805599453
495.5,0.0,0.0,687.1,400.0,0,0,6.2075834834852275,0.0,0.0,6.533934176208434,5.993961427306569,0.6931471805599453,0.6931471805599453
535.8,629.1,570.1,619.3,700.0,0,0,6.285625585657472,6.44587853694801,6.347564325670818,6.430203231979072,6.55250788703459,0.6931471805599453,0.6931471805599453
446.5,550.4,429.6,536.1,400.0,0,0,6.10367653771491,6.312460498589696,6.065179584930263,6.286184296911414,5.993961427306569,0.6931471805599453,0.6931471805599453
481.4,520.2,434.7,391.2,260.0,0,0,6.178773645412976,6.25613384525069,6.076953933123397,5.971771913762246,5.564520407322694,0.6931471805599453,0.6931471805599453
397.4,530.4,419.8,442.1,600.0,0,0,5.987456525710443,6.275515033325713,6.0421576614235,6.093795478205444,6.398594934535208,0.6931471805599453,0.6931471805599453
591.5,604.9,580.0,561.1,320.0,0,0,6.384350873009287,6.406714955950943,6.364750756851911,6.331679770008029,5.771441123130016,0.6931471805599453,0.6931471805599453
504.1,464.1,471.4,411.3,340.0,0,0,6.224756429474007,6.142252436230051,6.157826084323207,6.021751239712854,5.831882477283517,0.6931471805599453,0.6931471805599453
471.3,545.8,430.5,405.7,400.0,0,0,6.157614376902071,6.304083104849794,6.067267510523482,6.008075812913178,5.993961427306569,0.6931471805599453,0.6931471805599453
454.1,599.2,483.9,565.5,580.0,0,0,6.120517175022596,6.3972629330062665,6.183942684111306,6.339477080468061,6.364750756851911,0.6931471805599453,0.6931471805599453
548.2,630.5,565.3,526.9,560.0,0,0,6.308462673893816,6.448097941790546,6.339123973119759,6.268906871829571,6.329720905522696,0.6931471805599453,0.6931471805599453
527.6,434.7,491.6,553.4,380.0,0,0,6.2702320021701885,6.076953933123397,6.199697485686437,6.3178864478756935,5.942799375126701,0.6931471805599453,0.6931471805599453
462.1,473.7,480.7,405.1,280.0,0,0,6.137943013486706,6.162683025557272,6.177321513636175,6.006599434692252,5.638354669333745,0.6931471805599453,0.6931471805599453
399.2,434.3,492.6,515.9,320.0,0,0,5.991964422149633,6.076035448558252,6.201725472591178,6.247849432201994,5.771441123130016,0.6931471805599453,0.6931471805599453
573.7,666.8,627.0,709.5,720.0,0,0,6.353848165513696,6.5039887275095545,6.4425401664681985,6.565968947537155,6.580639137284949,0.6931471805599453,0.6931471805599453
431.5,552.8,558.7,587.1,400.0,0,0,6.069582326371934,6.316803610736861,6.327400925897314,6.3768970014659105,5.993961427306569,0.6931471805599453,0.6931471805599453
412.8,537.2,544.8,471.6,600.0,0,0,6.025382765311443,6.2882302382928055,6.302252608274238,6.158249364752807,6.398594934535208,0.6931471805599453,0.6931471805599453
444.4,555.1,514.1,513.8,440.0,0,0,6.098972754823267,6.320948134193518,6.24436105657154,6.243778475721972,6.089044875446846,0.6931471805599453,0.6931471805599453
560.1,658.6,636.2,617.7,700.0,0,0,6.3298991427569264,6.491633590685444,6.457083578035894,6.427620502536943,6.55250788703459,0.6931471805599453,0.6931471805599453
614.6,669.0,612.9,559.2,880.0,0,0,6.422597401964724,6.507277712385012,6.419832048433451,6.328293862826008,6.78105762593618,0.6931471805599453,0.6931471805599453
449.3,525.0,527.4,466.0,480.0,0,0,6.109914027307526,6.26530121273771,6.26985357264817,6.1463292576688975,6.175867270105761,0.6931471805599453,0.6931471805599453
511.1,611.7,560.4,541.0,640.0,0,0,6.238519918468505,6.417875419731609,6.330433663927782,6.295266001439646,6.46302945692067,0.6931471805599453,0.6931471805599453
